City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bandarbeyla,SO,75.31,clear sky,9.4942,50.8122,JABIR HOTEL
4,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Rikitea,PF,76.44,clear sky,-23.1203,-134.9692,People ThankYou
11,Cidreira,BR,65.89,scattered clouds,-30.1811,-50.2056,Hotel Castelo
13,Mataura,NZ,68.49,light rain,-46.1927,168.8643,Ellie's Villa
14,Puerto Ayora,EC,69.98,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Castro,BR,66.34,few clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
38,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
39,Chapada Dos Guimaraes,BR,76.66,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
40,Port Alfred,ZA,66.97,broken clouds,-33.5906,26.891,The Halyards Hotel
42,Arraial Do Cabo,BR,73.51,clear sky,-22.9661,-42.0278,Pousada Porto Praia
44,Port Elizabeth,ZA,66.09,light rain,-33.918,25.5701,39 On Nile Guest House
45,Half Moon Bay,US,75.52,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
50,Ciudad Bolivar,VE,78.62,overcast clouds,8.1222,-63.5497,Hotel Edi
53,Monrovia,LR,79.97,broken clouds,6.3005,-10.7969,Sunset Inn
55,Mayumba,GA,76.39,overcast clouds,-3.432,10.6554,LIKWALE LODGE
56,Necochea,AR,65.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
57,Georgetown,MY,77.95,moderate rain,5.4112,100.3354,Cititel Penang
59,Sao Filipe,CV,75.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
61,Athni,IN,69.1,overcast clouds,16.7333,75.0667,Basawasri Lodge
80,Hilo,US,78.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Bonanza,NI,70.16,broken clouds,14.0289,-84.591,Edificio Administrativo HEMCO
87,Atuona,PF,78.58,light rain,-9.8,-139.0333,Villa Enata
89,Mana,GF,77.67,overcast clouds,5.6592,-53.7767,LE SAMANA
90,Bluff,NZ,68.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
91,Bom Jesus,BR,79.79,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
94,Tuatapere,NZ,68.83,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
95,Hambantota,LK,73.74,clear sky,6.1241,81.1185,Bungalow 63
