City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Petit Goave,HT,18.4314,-72.8669,80.78,78,31,2.66,scattered clouds
79,Melukote,IN,12.6589,76.6506,62.6,97,30,3.02,scattered clouds
80,Hilo,US,19.7297,-155.09,78.28,86,20,0.0,light rain
81,Den Helder,NL,52.9599,4.7593,44.58,82,75,11.99,broken clouds
82,Mahebourg,MU,-20.4081,57.7,77.29,78,40,3.44,scattered clouds
83,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,13.8,clear sky
84,Kodiak,US,57.79,-152.4072,15.31,73,90,21.85,light snow
85,Bonanza,NI,14.0289,-84.591,70.16,99,77,2.95,broken clouds
86,Narsaq,GL,60.9167,-46.05,32.49,99,100,19.73,snow
87,Atuona,PF,-9.8,-139.0333,78.58,79,57,21.27,light rain
88,Bubaque,GW,11.2833,-15.8333,81.97,62,82,16.26,broken clouds
89,Mana,GF,5.6592,-53.7767,77.67,91,100,9.8,overcast clouds
90,Bluff,NZ,-46.6,168.3333,68.81,71,43,7.63,scattered clouds
91,Bom Jesus,BR,-9.0744,-44.3586,79.79,68,97,1.05,overcast clouds
92,Araria,IN,26.15,87.5167,64.69,59,22,1.61,few clouds
93,Dikson,RU,73.5069,80.5464,-6.65,96,100,14.67,overcast clouds
94,Tuatapere,NZ,-46.1333,167.6833,68.83,54,67,5.21,broken clouds
95,Hambantota,LK,6.1241,81.1185,73.74,100,0,2.3,clear sky
96,Klaksvik,FO,62.2266,-6.589,34.72,57,100,29.93,overcast clouds
97,Ballina,AU,-28.8667,153.5667,78.98,80,90,17.27,overcast clouds
98,U Thong,TH,14.3751,99.8923,66.72,61,42,12.71,scattered clouds
99,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,3.44,scattered clouds
100,Hegang,CN,47.4,130.3667,8.38,92,80,4.99,broken clouds
101,Lagoa,PT,39.05,-27.9833,62.53,85,15,10.6,few clouds
102,Yankton,US,42.8711,-97.3973,61.12,44,1,8.05,clear sky
103,Hobart,AU,-42.8794,147.3294,88.02,57,20,1.01,few clouds
104,Rocha,UY,-34.4833,-54.3333,56.77,76,97,4.9,overcast clouds
105,Morehead,US,37.2711,-87.1764,57.15,93,75,0.0,broken clouds
106,Bethel,US,41.3712,-73.414,40.82,73,20,0.0,few clouds
107,Broome,US,42.2506,-75.833,36.91,71,75,3.0,broken clouds
108,Tulun,RU,54.5611,100.5792,21.33,92,100,4.56,overcast clouds
109,Nikolskoye,RU,59.7035,30.7861,21.09,98,68,3.58,broken clouds
110,Verkh-Usugli,RU,52.7,115.1667,7.0,61,3,7.96,clear sky
111,Borogontsy,RU,62.6683,131.1683,-31.31,100,17,3.0,few clouds
112,Alofi,NU,-19.0595,-169.9187,82.29,74,75,17.27,light intensity drizzle
113,Bilma,NE,18.6853,12.9164,68.38,16,4,6.51,clear sky
114,Villa Union,MX,23.2,-106.2333,80.91,69,40,6.91,scattered clouds
115,Ponta Do Sol,PT,32.6667,-17.1,65.71,71,24,6.6,few clouds
116,Maragogi,BR,-9.0122,-35.2225,78.69,80,64,9.51,broken clouds
117,San Cristobal,VE,7.7669,-72.225,71.78,94,26,2.55,scattered clouds
118,Puerto Escondido,MX,15.85,-97.0667,83.23,65,40,5.75,scattered clouds
119,Lazarev,RU,52.225,141.5131,20.17,82,100,40.49,light snow
120,Sola,VU,-13.8833,167.55,86.67,70,20,2.3,few clouds
121,Dayong,CN,25.0209,118.2898,59.9,60,1,4.03,clear sky
122,Eureka,US,40.8021,-124.1637,61.18,80,50,1.01,scattered clouds
123,Severo-Kurilsk,RU,50.6789,156.125,42.03,91,100,20.85,moderate rain
124,Tongren,CN,27.7172,109.1853,44.56,67,16,0.13,few clouds
125,Kommunar,RU,59.6206,30.39,20.73,96,98,4.68,overcast clouds
126,Byron Bay,AU,-28.65,153.6167,78.91,73,77,12.64,broken clouds
127,Labuhan,ID,-6.8844,112.2051,80.22,79,98,5.06,overcast clouds
128,Peniche,PT,39.3558,-9.3811,55.62,77,100,23.82,overcast clouds
129,Palmer,US,42.1584,-72.3287,36.5,81,75,3.44,broken clouds
130,Grindavik,IS,63.8424,-22.4338,36.07,93,90,31.07,sleet
131,Provideniya,RU,64.3833,-173.3,-1.64,50,20,4.47,few clouds
132,Saint George,US,37.1041,-113.5841,70.27,23,1,1.01,clear sky
133,Fort Nelson,CA,58.8053,-122.7002,-6.21,77,75,3.44,broken clouds
134,Axim,GH,4.8699,-2.2405,79.32,84,52,6.31,broken clouds
135,Nadym,RU,65.5333,72.5167,0.79,96,100,9.8,overcast clouds
136,Dingle,PH,10.9995,122.6711,77.31,93,100,10.33,light rain
137,Namibe,AO,-15.1961,12.1522,71.11,78,97,3.2,light rain
138,Lovozero,RU,68.005,35.0117,22.6,88,100,24.67,light snow
139,Smithers,CA,54.7804,-127.1743,35.92,80,75,6.91,light rain
140,Pacific Grove,US,36.6177,-121.9166,78.91,36,1,0.0,clear sky
141,Upernavik,GL,72.7868,-56.1549,26.78,96,100,9.44,snow
142,Yulara,AU,-25.2406,130.9889,94.84,15,0,10.36,clear sky
143,Bahia Blanca,AR,-38.7196,-62.2724,67.41,64,36,7.38,light rain
144,Fernandez,AR,-27.9204,-63.8935,80.02,37,39,15.82,scattered clouds
145,Muscat,OM,23.6139,58.5922,68.02,57,0,4.43,clear sky
146,Kalakamati,BW,-20.5929,27.3121,74.77,36,31,12.57,scattered clouds
147,Kaitangata,NZ,-46.2817,169.8464,65.93,78,31,8.99,scattered clouds
148,Zhigansk,RU,66.7697,123.3711,-41.35,99,69,6.08,broken clouds
149,Lavrentiya,RU,65.5833,-171.0,-10.17,82,1,6.31,clear sky
150,Kadoma,JP,34.7333,135.5833,48.65,54,20,6.91,few clouds
151,Port Hardy,CA,50.6996,-127.4199,48.76,93,90,5.75,light intensity shower rain
